Sample,Date,Month,Site,Location,Meter,Sediment,Mean.fw.um,Sd.fw.um,Skewness.fw.um,Kurtosis.fw.um,Mean.fw.phi,Sd.fw.phi,Skewness.fw.phi,Kurtosis.fw.phi,D10(um),D50(um),D90(um),D90/D10,D90-D10,D75/D25,D75-D25,Trask(So),Krumbein(Qd),Texture,Boulder,Gravel,Sand,mud,boulder,vcgravel,cgravel,mgravel,fgravel,vfgravel,vcsand,csand,msand,fsand,vfsand,vcsilt,silt
CAF11.8.14.2021,8.14.2021,August,CAF,Start,11,"Medium Sand,Moderately Sorted,Coarse Skewed,Leptokurtic",966.807,1.841,0.246,1.325,1.213,0.881,-0.246,1.325,998.581,402.912,228.769,0.229,-769.812,0.494,-302.358,1.423,-0.509,Slightly Gravelly Sand,0,3.965,95.978,0.057,0,0,0,0,1.799,2.166,6.004,22.79,55.355,10.575,1.254,0,0.057
Cal24.8.14.2021,8.14.2021,August,Cal,End,24,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Leptokurtic",1264.312,2.613,0.49,1.309,0.827,1.386,-0.49,1.309,2859.799,413.136,215.767,0.075,-2644.032,0.363,-512.528,1.661,-0.732,Gravelly Sand,0,14.051,85.914,0.035,0,0,0,0,6.199,7.851,7.855,14.401,49.739,13.362,0.557,0,0.035
Cal15.5.8.14.2021,8.14.2021,August,Cal,Mid,15.5,"Medium Sand,Moderately Sorted,Very Coarse Skewed,Leptokurtic",1159.977,1.961,0.316,1.283,1.057,0.972,-0.316,1.283,1436.243,430.919,254.136,0.177,-1182.107,0.461,-362.154,1.473,-0.559,Gravelly Sand,0,5.892,94.065,0.043,0,0,0,0,0.697,5.195,8.599,24.246,52.506,8.306,0.408,0,0.043
Cal1.8.14.2021,8.14.2021,August,Cal,Start,1,"Coarse Sand,Poorly Sorted,Coarse Skewed,Leptokurtic",917.436,2.97,0.217,1.142,0.998,1.57,-0.217,1.142,2346.255,416.418,136.315,0.058,-2209.94,0.269,-715.826,1.927,-0.946,Gravelly Sand,0,11.895,88.057,0.048,0,0,0,0,3.668,8.227,12.722,15.365,37.962,10.652,11.356,0,0.048
Kelly23.8.14.2021,8.14.2021,August,Kelly,End,23,"Medium Sand,Moderately Sorted,Coarse Skewed,Leptokurtic",890.278,1.933,0.273,1.324,1.232,0.951,-0.273,1.324,1177.217,387.54,200.948,0.171,-976.269,0.476,-307.355,1.449,-0.535,Slightly Gravelly Sand,0,4.186,95.682,0.132,0,0,0,0,1.313,2.873,7.604,18.674,53.149,14.553,1.703,0,0.132
Kelly8.5.8.14.2021,8.14.2021,August,Kelly,Mid,8.5,"Medium Sand,Moderately Sorted,Coarse Skewed,Leptokurtic",942.688,1.773,0.191,1.345,1.256,0.826,-0.191,1.345,881.958,404.142,232.066,0.263,-649.892,0.51,-284.012,1.4,-0.485,Slightly Gravelly Sand,0,3.979,95.965,0.056,0,0,0,0,1.951,2.028,3.608,25.347,55.577,9.952,1.48,0,0.056
Kelly2.8.14.2021,8.14.2021,August,Kelly,Start,2,"Medium Sand,Moderately Sorted,Symmetrical,Mesokurtic",1075.06,1.647,-0.04,1.031,1.188,0.72,0.04,1.031,839.406,444.744,250.048,0.298,-589.357,0.5,-310.718,1.415,-0.5,Slightly Gravelly Sand,0,0.26,99.167,0.573,0,0,0,0,0.041,0.22,4.946,36.659,48.148,7.526,1.887,0,0.573
CL22.8.25.2021,8.25.2021,August,CL,End,22,"Medium Sand,Poorly Sorted,Symmetrical,Very Leptokurtic",243.569,3.656,0.007,1.739,1.843,1.87,-0.007,1.739,1486.843,262.882,72.693,0.049,-1414.15,0.306,-346.654,1.807,-0.854,Gravelly Sand,0,7.328,85.52,7.152,0,0,0,0,2.104,5.224,6.247,11.402,26.979,23.367,17.525,0,7.152
CL8.8.25.2021,8.25.2021,August,CL,Mid,8,"Fine Sand,Poorly Sorted,Very Coarse Skewed,Very Leptokurtic",172.631,2.656,0.334,1.65,2.119,1.409,-0.334,1.65,1098.45,198.849,83.767,0.076,-1014.683,0.413,-200.294,1.555,-0.637,Gravelly Sand,0,6.511,91.675,1.814,0,0,0,0,1.51,5.001,4.036,7.722,12.237,42.375,25.306,0,1.814
CL5.8.25.2021,8.25.2021,August,CL,Start,5,"Fine Sand,Poorly Sorted,Symmetrical,Very Leptokurtic",95.557,2.66,-0.013,1.803,2.545,1.412,0.013,1.803,632.062,167.176,68.125,0.108,-563.937,0.416,-137.471,1.55,-0.632,Slightly Gravelly Sand,0,2.631,90.591,6.778,0,0,0,0,1.066,1.565,2.343,8.055,7.62,36.293,36.281,0,6.778
